ID,Name,Start_Date,End_Date,Price_Model,Total_Limit_Salesforce,Campaign_Delivery_Status,Daily_Limit,Total_Limit,Impressions,CVVs,%Delivered,VCR,Vlook_up,Account_Manager,Placement_IDs,Analyst,Booked_Limit
299825,ACUK - Boots UK Ltd - No. 7 - Sep3 - Oct21 - AV,02/09/2025,10/10/2025,CPCV,,Not Delivered in Full,"6,521","162,133","168,855","160,410",1,,"299,825",NA,C-002981,DT,162133
299901,ACCS - Group M - L’Oreal - Sep16 - Oct10 - SK,09/17/2025,10/10/2025,CPCV,,Not Delivered in Full,"56,873","247,000","261,241","242,367",1,,"299,901",Sesil Kaprilyan,C-003068,Rajesh Kumar,193276
299975,ACTR - Speed Medya - BiM - Oct3 - Oct10,03/10/2025,10/10/2025,CPCV,"1,407,476",Delivered in Full,"55,200","375,000","406,502","375,176",1,,"299,975",Gencay Evren,C-003185,Rajesh Kumar,357143
299931,ACME - Tarek Nour - MG Oto TR - Sep01 - Oct09,09/23/2025,09/10/2025,CPCV,"1,089,474",Delivered in Full,"9,286","148,584","172,210","149,828",1,,"299,931",Sesil Kaprilyan,C-003116,Rajesh Kumar,141509
299992,ACTR - Speed Medya - BİM - Oct8 - Oct9,08/10/2025,09/10/2025,CPCV,"421,053",Not Delivered in Full,"281,249","562,499","467,382","420,210",1,,"299,992",Gencay Evren,C-003221,Peddakotla Raviteja,535714
299895,ACTR - IngageTR - Opet - Fasty - Sep15 - Oct8,09/16/2025,08/10/2025,CPCV,"681,818",Delivered in Full,"80,000","1,750,002","1,937,705","1,750,713",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299948,ACME - WB MEDIA - Samsung - Sep08 - Oct06,09/25/2025,06/10/2025,CPCV,,Delivered in Full,"35,686","356,860","429,675","357,036",1,,"299,948",Sesil Kaprilyan,C-003152,Rajesh Kumar,339867
299860,ACUK - GOV - Navy - Reserves - Sep8Oct5,07/09/2025,05/10/2025,CPCV,,Not Delivered in Full,"24,000","597,000","592,123","560,047",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299861,ACUK - GOV - Navy - Engineers - Sep8Oct5,07/09/2025,05/10/2025,CPCV,,Not Delivered in Full,"27,000","597,000","589,003","567,669",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299979,ACTR - Speed Medya - BiM - Oct4 - Oct5,03/10/2025,05/10/2025,CPCV,,Delivered in Full,"357,143","375,000","407,212","376,074",1,,"299,979",Gencay Evren,C-003189,Rajesh Kumar,357142
299871,ACLAUS - Starcom USH - Mcdonalds (USH) - Sep 8 - Oct 5,09/09/2025,05/10/2025,CPM,,Delivered in Full,"97,222","2,625,000","2,625,297","2,434,930",1,,"299,871",Idil Yurtan,C-003035,Mohamed Arsath,2500000
